dimension,slice_value,sample_count,positive_count,negative_count,status,notes,legacy_fake_recall_value,paper_manipulated_recall_at_0_5,paper_real_recall_at_0_5,f1_at_paper_style_threshold,auroc,accuracy,legacy_threshold,paper_style_threshold,legacy_equals_paper_manipulated_recall,included_in_paper_main_table
overall,overall,30,15,15,ok,N/A,0.6,0.6,1.0,0.7499999999999999,1.0,0.8,0.5,0.5,True,True
clean_vs_degraded,clean,6,3,3,ok,N/A,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.8333333333333334,0.5,0.5,True,True
clean_vs_degraded,degraded,24,12,12,ok,Degraded is the union of all explicit non-clean degradations.,0.5833333333333334,0.5833333333333334,1.0,0.7368421052631579,1.0,0.7916666666666666,0.5,0.5,True,True
generator_family,GAN,4,1,3,ok,generator_family is derived from canonicalized generator_id. | This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,True,True
generator_family,Diffusion,5,2,3,ok,generator_family is derived from canonicalized generator_id. | This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,0.5,0.5,1.0,0.6666666666666666,1.0,0.8,0.5,0.5,True,True
region_type,background,5,2,3,ok,This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,0.5,0.5,1.0,0.6666666666666666,1.0,0.8,0.5,0.5,True,True
region_type,stuff,4,1,3,ok,This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,True,True
area_bin,small,4,1,3,ok,area_bin uses repo_frozen_alignment_bins and aligns the paper naming grammar only. | This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,0.0,0.0,1.0,0.0,1.0,0.75,0.5,0.5,True,True
area_bin,medium,4,1,3,ok,area_bin uses repo_frozen_alignment_bins and aligns the paper naming grammar only. | This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,True,True
area_bin,large,4,1,3,ok,area_bin uses repo_frozen_alignment_bins and aligns the paper naming grammar only. | This row uses the repo's clean-shared-negative slice contract and is partially aligned to the paper reporting grammar.,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,True,True
degradation_detail,clean,6,3,3,ok,Degradation detail rows are always exported when explicit metadata is present.,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.8333333333333334,0.5,0.5,True,False
degradation_detail,jpeg,6,3,3,ok,Degradation detail rows are always exported when explicit metadata is present.,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.8333333333333334,0.5,0.5,True,False
degradation_detail,resize,6,3,3,ok,Degradation detail rows are always exported when explicit metadata is present.,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.8333333333333334,0.5,0.5,True,False
degradation_detail,blur,6,3,3,ok,Degradation detail rows are always exported when explicit metadata is present.,0.6666666666666666,0.6666666666666666,1.0,0.8,1.0,0.8333333333333334,0.5,0.5,True,False
degradation_detail,crop,6,3,3,ok,Degradation detail rows are always exported when explicit metadata is present.,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,True,False
